{'loss': {'random_dim': 1024, 'trade_off': 1.0, 'random': False}, 'optimizer': {'lr_param': {'lr': 0.001, 'power': 0.75, 'gamma': 0.001}, 'lr_type': 'inv', 'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'nesterov': True, 'weight_decay': 0.0005, 'lr': 0.001, 'momentum': 0.9}}, 'snapshot_interval': 5000, 'out_file': <open file 'snapshot/san/log.txt', mode 'w' at 0x7fb33607f030>, 'num_iterations': 100004, 'prep': {'test_10crop': False, 'params': {'crop_size': 224, 'alexnet': False, 'resize_size': 256}}, 'network': {'params': {'resnet_name': 'ResNet50', 'bottleneck_dim': 256, 'use_bottleneck': True, 'new_cls': True, 'class_num': 10}, 'name': <class 'network.ResNetFc'>}, 'output_path': 'snapshot/san', 'test_interval': 500, 'gpu': '0', 'dataset': 'cifar', 'data': {'test': {'list_path': '../../data/office/webcam_10_list.txt', 'batch_size': 4}, 'source': {'list_path': '../../data/office/amazon_31_list.txt', 'batch_size': 36}, 'target': {'list_path': '../../data/office/webcam_10_list.txt', 'batch_size': 36}}, 'method': 'CDAN+E', 'output_for_test': True}iter: 00499, source acc: 0.70930, target acc: 0.52800
iter: 00999, source acc: 0.76700, target acc: 0.56100
iter: 01499, source acc: 0.79040, target acc: 0.60000
iter: 01999, source acc: 0.79940, target acc: 0.61200
iter: 02499, source acc: 0.80580, target acc: 0.63000
iter: 02999, source acc: 0.81910, target acc: 0.63400
iter: 03499, source acc: 0.81970, target acc: 0.63500
iter: 03999, source acc: 0.82340, target acc: 0.64600
iter: 04499, source acc: 0.82370, target acc: 0.63600
iter: 04999, source acc: 0.82550, target acc: 0.63500
iter: 05499, source acc: 0.83170, target acc: 0.64800
iter: 05999, source acc: 0.82850, target acc: 0.64200
iter: 06499, source acc: 0.83240, target acc: 0.64200
iter: 06999, source acc: 0.83300, target acc: 0.64900
iter: 07499, source acc: 0.82720, target acc: 0.63900
iter: 07999, source acc: 0.83350, target acc: 0.64600
iter: 08499, source acc: 0.83440, target acc: 0.63800
iter: 08999, source acc: 0.82910, target acc: 0.64900
iter: 09499, source acc: 0.83100, target acc: 0.64300
iter: 09999, source acc: 0.83320, target acc: 0.64400
iter: 10499, source acc: 0.83280, target acc: 0.65500
iter: 10999, source acc: 0.83240, target acc: 0.63600
iter: 11499, source acc: 0.83140, target acc: 0.63000
iter: 11999, source acc: 0.83160, target acc: 0.63100
iter: 12499, source acc: 0.83200, target acc: 0.64100
iter: 12999, source acc: 0.83630, target acc: 0.64100
iter: 13499, source acc: 0.82930, target acc: 0.64700
iter: 13999, source acc: 0.83070, target acc: 0.63600
iter: 14499, source acc: 0.83280, target acc: 0.64400
iter: 14999, source acc: 0.83090, target acc: 0.62400
iter: 15499, source acc: 0.83330, target acc: 0.63400
iter: 15999, source acc: 0.83490, target acc: 0.62400
iter: 16499, source acc: 0.83400, target acc: 0.64500
iter: 16999, source acc: 0.83330, target acc: 0.63500
iter: 17499, source acc: 0.82880, target acc: 0.64000
iter: 17999, source acc: 0.83290, target acc: 0.64000
iter: 18499, source acc: 0.83520, target acc: 0.62100
iter: 18999, source acc: 0.83440, target acc: 0.63100
iter: 19499, source acc: 0.83480, target acc: 0.63100
iter: 19999, source acc: 0.83260, target acc: 0.63200
iter: 20499, source acc: 0.83350, target acc: 0.64300
iter: 20999, source acc: 0.83320, target acc: 0.64400
iter: 21499, source acc: 0.83530, target acc: 0.64000
iter: 21999, source acc: 0.83510, target acc: 0.64100
iter: 22499, source acc: 0.83770, target acc: 0.64400
iter: 22999, source acc: 0.83740, target acc: 0.63600
iter: 23499, source acc: 0.83660, target acc: 0.65900
